"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","Cw1rxd","R8c4Qb","Jn12ke src","ah5Ghc","doJOZc","lcr4fd href","Cw1rxd 2","R8c4Qb 2","W4Efsd 7","ah5Ghc 2","ah5Ghc 3"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Cardinal+Pet+Clinic/data=!4m7!3m6!1s0x3397b13984159299:0x9d14bc0416e906ce!8m2!3d14.6956976!4d121.0317689!16s%2Fg%2F11fmmn3qgc!19sChIJmZIVhDmxlzMRzgbpFgS8FJ0?authuser=0&hl=en&rclk=1","Cardinal Pet Clinic","4.7","(33)","Veterinarian","·","625 Bagbag, 625 Quirino Hwy","Closed","· Opens 9 AM","·","(02) 8938 0369","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They took care of all my fur babies and I have a lot!!!""","","","","","","",""
"https://www.google.com/maps/place/Animed+Veterinary+Hospital/data=!4m7!3m6!1s0x3397b19a6ca013a3:0x95f247936696d661!8m2!3d14.7060758!4d121.0382107!16s%2Fg%2F11jx5xnz3g!19sChIJoxOgbJqxlzMRYdaWZpNH8pU?authuser=0&hl=en&rclk=1","Animed Veterinary Hospital","4.2","(90)","Veterinarian","·","·","753 Quirino Hwy","Open 24 hours","·","0965 469 7630","","Website","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They provide excellent customer service and top-notch quality care.""","","http://fb.me/animedvethospital/","","Directions","","",""
"https://www.google.com/maps/place/Pet+Vet+Animal+Health+Clinic/data=!4m7!3m6!1s0x3397b0df364996e9:0x3725b3af06dac2bb!8m2!3d14.7014908!4d121.035033!16s%2Fg%2F1pzv8twcc!19sChIJ6ZZJNt-wlzMRu8LaBq-zJTc?authuser=0&hl=en&rclk=1","Pet Vet Animal Health Clinic","3.7","(53)","Veterinary care","·","·","Closed","· Opens 9 AM","2nd Floor Nova Square Shopping Center, Quirino Highway, Pablo Dela Cruz Street, San Bartolome, Novaliches","0917 894 7956","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Dr. Christian has diagnosed and treated Kaui really well.""","","","","","·","",""
"https://www.google.com/maps/place/Regalado+Veterinary+Medical+Center/data=!4m7!3m6!1s0x3397b0bd4e9e3e33:0x2225fd8065a9591c!8m2!3d14.7032457!4d121.0684344!16s%2Fg%2F11clyz2t8s!19sChIJMz6eTr2wlzMRHFmpZYD9JSI?authuser=0&hl=en&rclk=1","Regalado Veterinary Medical Center","4.0","(333)","Veterinarian","·","Regalado Ave","Open 24 hours","","·","0920 584 8794","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Clean, well ventilated, nice and accommodating","","","","","","vet","doctors."""
"https://www.google.com/maps/place/Vet+911+Animal+Clinic+-+Kingspoint/data=!4m7!3m6!1s0x3397b1cbf8710507:0xfee6aae13736beb4!8m2!3d14.6990889!4d121.0236851!16s%2Fg%2F11thp49zsc!19sChIJBwVx-MuxlzMRtL42N-Gq5v4?authuser=0&hl=en&rclk=1","Vet 911 Animal Clinic - Kingspoint","4.2","(13)","Veterinarian","·","23 King Ferdinand St","Closed","· Opens 9 AM","","","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Staff is very friendly and takes very good care of my furbaby.""","","","","","","",""
"https://www.google.com/maps/place/Serbisyo+Beterinaryo+Animal+Hospital+Quezon+City+24+Hrs+Pet+Emergency/data=!4m7!3m6!1s0x3397b16a4aefab31:0xbd595523d3e4dff1!8m2!3d14.7104177!4d121.0615318!16s%2Fg%2F11sw0bvbrb!19sChIJMavvSmqxlzMR8d_k0yNVWb0?authuser=0&hl=en&rclk=1","Serbisyo Beterinaryo Animal Hospital Quezon City 24 Hrs Pet Emergency","3.9","(279)","Veterinarian","·","·","Lot 24, Blk 9, Commonwealth Ave","Open 24 hours","·","0917 709 4124","","Website","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The","","https://www.facebook.com/sbahquezoncity","","Directions","","vet","explained everything clearly from the diagnosis to treatment plan."""
"https://www.google.com/maps/place/Holistic+Paws+Manila+Veterinary+Clinic+OPEN+24%2F7/data=!4m7!3m6!1s0x3397b76de8a5dc39:0x953ba173775e1f64!8m2!3d14.6732394!4d121.0569!16s%2Fg%2F11hdjdzxxr!19sChIJOdyl6G23lzMRZB9ed3OhO5U?authuser=0&hl=en&rclk=1","Holistic Paws Manila Veterinary Clinic OPEN 24/7","4.1","(71)","Veterinarian","·","9 Congressional Ave Ext","Open 24 hours","","·","0917 100 5395","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They did boas emergency surgery on my french bulldog and it was successful.""","","","","","","",""
"https://www.google.com/maps/place/MedPaws+Veterinary+Clinic+and+Grooming+Services+-+Project+8/data=!4m7!3m6!1s0x2697a098ac96e733:0xa3e4b82b4d6924e8!8m2!3d14.6784541!4d121.0176867!16s%2Fg%2F11kjj6mv06!19sChIJM-eWrJiglyYR6CRpTSu45KM?authuser=0&hl=en&rclk=1","MedPaws Veterinary Clinic and Grooming Services - Project 8","2.6","(15)","Veterinarian","·","346 Quirino Hwy","Closed","· Opens 9 AM","·","0942 388 0260","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Good and friendly","","","","","","vet",", they answer every question we have even through text."""
